Company,Product,Size,Currency,Prices,Price_Category
Mirinda,Orange,330 Ml,SAR,2.5,Low Price
Minis,Mixed Chocolates,500G,SAR,32.95,High Price
Mazola,Sunflower Oil,2x1.8L,SAR,18.95,Medium Price
Mountain Dew,Bottle,330 Ml,SAR,2.5,Low Price
Mcvitie's,Digestive Biscuits Covered with Milk Chocolate,300G,SAR,11.95,Medium Price
Moussy,Classic Malt Beverage Can,330 Ml,SAR,4.95,Low Price
Nadec,Long Life Full Fat Milk,12 x 1L,SAR,34.5,High Price
Nadec,Organic Extra Virgin First Extraction Olive Oil,250 Ml,SAR,12.6,Medium Price
Nadec,Long life Low Fat Milk,12 × 1L,SAR,34.5,High Price
Punjabi Al Muhaidib,Brown Basmati Rice,2Kg,SAR,23.95,High Price
Perrier,Water,330 Ml,SAR,5.25,Medium Price
Rainbow,Original Evaporated Quality Milk,170G,SAR,2.5,Low Price
Premium Harvest,Dehydrated Baby Pineapple,200G,SAR,23.9,High Price
Premium Harvest,Dehydrated Mango,200G,SAR,23.9,High Price
Rauch,Apple Nectar Juice,250 Ml,SAR,5.0,Medium Price
Rio Mare,Light Meat Tuna In Olive Oil,80G,SAR,6.85,Medium Price
Rahma,Extra Virgin Olive Oil,250 Ml Free + 750 Ml,SAR,19.95,Medium Price
Nova,Drinking Water Glass Bottle,0.55 Ml,SAR,1.0,Low Price
Nutella,Hazelnut Spread With Cocoa,200G,SAR,12.25,Medium Price
Noor,Sunflower Oil,1.8L + 750 ml,SAR,17.5,Medium Price
Orient Gardens,Pomegranate Molasses,250G,SAR,9.0,Medium Price
Pepsi,Bottle,150 Ml,SAR,1.5,Low Price
Pepsi,Diet Bottle,250 Ml,SAR,2.5,Low Price
Nestlé,Nesquik Chocolate Breakfast Cereal,375G,SAR,18.95,Medium Price
Nestlé,Nesquik Chocolate Powder Pouch,14.3G,SAR,1.6,Low Price
Nestlé,Lion Chocolate Bar,42G,SAR,2.05,Low Price
Nestlé,Nido Fortified Full Cream Milk Powder,400G,SAR,24.95,High Price
Nestlé,Pure Life Water,330 Ml,SAR,0.5,Low Price
Nestlé,Sweetened Condensed Milk,90G,SAR,3.7,Low Price
Yamama,Grenadine Molasses,300 Ml,SAR,12.95,Medium Price
Rio Mare,Salatuna Mexico Recipe,160G,SAR,13.95,Medium Price
Rio Mare,Salatuna Beans,160G,SAR,26.95,High Price
Rio Mare,Salatuna Couscous And Tuna,160G,SAR,28.3,High Price
Rio Mare,Salatuna Maize Recipe,160G,SAR,13.95,Medium Price
Ruffles,Potato Chips Regular,6.5Z,SAR,14.95,Medium Price
Snickers,Chocolate,50G,SAR,2.95,Low Price
Saudia,Long Life Full Fat Milk,200 Ml,SAR,1.6,Low Price
Saudia,Long Life Low Fat Milk,1L,SAR,4.5,Low Price
Snickers,Crisper Fun Size,40G,SAR,2.95,Low Price
Sriracha,Hot Chili Sauce,266 Ml,SAR,12.85,Medium Price
Twinings,English Breakfast Tea Bags,25 x 1.5G,SAR,17.25,Medium Price
Tabasco,Tabasco Pepper Sauce,150 Ml,SAR,14.5,Medium Price
Tasali,Tasali Ketchup Potato Chips,180G,SAR,5.25,Medium Price
Ulker,Tea Biscuits,12 x 165G,SAR,17.95,Medium Price
Twix,Twin Bar,50G,SAR,2.95,Low Price
Twix,Bites Pouch,170G,SAR,11.5,Medium Price
Rainbow,Evaporated Quality Milk With Cardamom,170G,SAR,2.65,Low Price
Coca Cola,Plastic Bottle,400 Ml,SAR,2.5,Low Price
Rainbow,Evaporated Quality Low Fat Milk,170G,SAR,2.65,Low Price
Evian,Natural Mineral Water,24 x 500 Ml,SAR,100.95,Very High Price
Al Safi,Long Life Low Fat Milk,1L,SAR,4.1,Low Price
Volvic,Water,500 Ml,SAR,6.5,Medium Price
Sipa,Couscous,500G,SAR,10.45,Medium Price
Barbican,Malt Beverage Raspberry Flavor,330 Ml,SAR,5.0,Medium Price
Barbican,Malt Beverage Apple Flavor,330 Ml,SAR,5.0,Medium Price
Best,Salted Peanuts,4 x 330 Ml,SAR,0.6,Low Price
Evian,Natural Mineral Water,330 Ml,SAR,5.5,Medium Price
Indomie,Chicken Flavour Instant Noodles,70G,SAR,1.3,Low Price
Indomie,Vegetable Flavour Instant Noodles,75G,SAR,1.3,Low Price
Lipton,Lemon Ice Tea,320 Ml,SAR,3.0,Low Price
Caesar,Apple Jucie,250 Ml,SAR,3.0,Low Price
Heinz,Tomato Paste,135G,SAR,1.6,Low Price
KDD,Natural Tomato Paste,8 x 135G,SAR,7.95,Medium Price
Al Rabie,Orange Drink,250 Ml,SAR,1.95,Low Price
Caesar,Orange & Carrot Jucie,250 Ml,SAR,3.0,Low Price
Hershey's,Cookies 'N' Cream,40G,SAR,3.1,Low Price
KitKat,Milk Chocolate Bar 4 Finger,41.5G,SAR,2.1,Low Price
Nova,Chewing Gum Spearmint Sugar Free,2.5G,SAR,0.55,Low Price
Lipton,Peach Ice Tea,320 Ml,SAR,3.0,Low Price
Ulker,Halley Chocolate Coated Sandwich With Marshmallow,26G,SAR,1.05,Low Price
Ferrero Rocher,Raffaello,10G,SAR,3.5,Low Price
Toblerone,Swiss Milk Chocolate With Honey And Almond Noucat,35G,SAR,3.95,Low Price
Ulker,Cocosandwich Biscuit,22.5G,SAR,0.8,Low Price
Green's,The Original Carmelle,49G,SAR,1.9,Low Price
Florida's Natural,Orange Juice with pulp,300Ml,SAR,3.15,Low Price
Al Rabie,Orange Juice,200 Ml,SAR,1.6,Low Price
Vimto,Vimto Fruit Flavoured Drink,250 Ml,SAR,1.6,Low Price
Al Rabie,Fruit Cocktail Nectar,200 Ml,SAR,1.5,Low Price
